Data_Hash	Braid_ID	Signed	MIME_Type	Attribued_To	Created_At
2c01159783b7d8dcec9d49205fe766b471517f90d64ab8c69423d6b5376b658a	urn:braid:2c01159783b7d8dcec9d49205fe766b471517f90d64ab8c69423d6b5376b658a	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786504792498396814
ecc11ecebd93a70cf21787f2b4d47b0e2033c2206a76328d23857d5701254bcd	urn:braid:ecc11ecebd93a70cf21787f2b4d47b0e2033c2206a76328d23857d5701254bcd	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503670136695620
015f7252e0d1520fd07f42d25249565a3700d412e65546c8c1fb357f9583691d	urn:braid:015f7252e0d1520fd07f42d25249565a3700d412e65546c8c1fb357f9583691d	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503662224986415
39d9b11340603eee2afdc523d0e48c16cd33b5e374d74b4440e7c54815cf6862	urn:braid:39d9b11340603eee2afdc523d0e48c16cd33b5e374d74b4440e7c54815cf6862	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503661806552134
0477ab85f2ec1e6b6cadefe8e13dc488824d534b6f515251888365b58e9f395b	urn:braid:0477ab85f2ec1e6b6cadefe8e13dc488824d534b6f515251888365b58e9f395b	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503658823879038
eb564223cf1e2a8e787f009e10c858e1a56fe90f8f5df047e7a01797c5b97d9e	urn:braid:eb564223cf1e2a8e787f009e10c858e1a56fe90f8f5df047e7a01797c5b97d9e	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503601918327941
a41755f108c7560c1d6ee248a0d712fc57aaa68efd0628d915945becf2c29133	urn:braid:a41755f108c7560c1d6ee248a0d712fc57aaa68efd0628d915945becf2c29133	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503601429056972
3e4e758981beac4d489b4e893bcb9ff0c511a28566ec3c6be743de98c8ddfb93	urn:braid:3e4e758981beac4d489b4e893bcb9ff0c511a28566ec3c6be743de98c8ddfb93	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503479892911282
5d0d0e2e961b193fc164b5899b538ee4a1ebf1a8aa070c4b03beda7dc6bad98f	urn:braid:5d0d0e2e961b193fc164b5899b538ee4a1ebf1a8aa070c4b03beda7dc6bad98f	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503479404585748
f1c25a55045f4c7b1acf5de9a5f3c708741be09771249eb604ef7db54ad0b909	urn:braid:f1c25a55045f4c7b1acf5de9a5f3c708741be09771249eb604ef7db54ad0b909	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503479047153227
fcd2ce9e89396639fceaadc17f62091393b3086b0ba67bc71869246b479127ea	urn:braid:fcd2ce9e89396639fceaadc17f62091393b3086b0ba67bc71869246b479127ea	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503477893614796
1cc82f9879deda79487435c6f7f8dba10c97b6f0c679fd87df1833930ac860b0	urn:braid:1cc82f9879deda79487435c6f7f8dba10c97b6f0c679fd87df1833930ac860b0	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503477397851297
87491b74bd0af384050afeab05910684623af217b18ad826d96866bc8cde452f	urn:braid:87491b74bd0af384050afeab05910684623af217b18ad826d96866bc8cde452f	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503477137916300
d3277223a0ec751d8f3990b76405d5286b7f743b5c15ced58be330989d57c542	urn:braid:d3277223a0ec751d8f3990b76405d5286b7f743b5c15ced58be330989d57c542	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503476778511699
a345c3cb60e1349968cf15ceee6a33583144c52cd0f794efb40a20a826635063	urn:braid:a345c3cb60e1349968cf15ceee6a33583144c52cd0f794efb40a20a826635063	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503476443381344
f200ac68f5dfbc25c1549f5c328b4e93248d47f1cb3ba171430ff0feb4372ec5	urn:braid:f200ac68f5dfbc25c1549f5c328b4e93248d47f1cb3ba171430ff0feb4372ec5	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503475813724157
cf221a217725da24fb8abb3fe351073662815502b195374110ad3dd4394a09c2	urn:braid:cf221a217725da24fb8abb3fe351073662815502b195374110ad3dd4394a09c2	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503475571920006
9bfcfc3dd1e2151868042794c9943291c5b4c9cd0d2e35352471acf436a558b3	urn:braid:9bfcfc3dd1e2151868042794c9943291c5b4c9cd0d2e35352471acf436a558b3	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503430235898314
657ebdaf21ad70b4509af358abb8859e099ce3d9d2cc5d338139f97af7aec344	urn:braid:657ebdaf21ad70b4509af358abb8859e099ce3d9d2cc5d338139f97af7aec344	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503429150685309
